sheet,row,part_number,description,quantity,qty_raw,requirement,notes
i-BMS config ,5,100916,i-BMS15/6,1.0,1,main,Main product
i-BMS config ,6,100980,i-BMS15 Wire harness kit SINGLE PACK,1.0,1,optional,Optional - can be sourced externally
i-BMS config ,7,100981,i-BMS15 Wire harness kit PARALLEL PACK,2.0,2,optional,Optional - can be sourced externally
i-BMS config ,8,200100,i-BMS Unified Creator License FULL,1.0,1,,1 user
i-BMS config ,9,300100,i-BMS Unified Service,,x,optional,Optional. Needed mostly for service after series production
i-BMS config ,10,100545,Peak CAN adapter for n- and c-BMS,1.0,1,,Necessary for software setup but can be sourced externally
c-BMS24 config,5,100924,c-BMS24,1.0,1,main,Main product
c-BMS24 config,6,100930,c-BMS24 Wire harness kit I/O 16w,1.0,1,optional,Optional - can be sourced externally
c-BMS24 config,7,100931,c-BMS24 Wire harness kit bat temperature and shunt 20w,1.0,1,optional,Optional - can be sourced externally
c-BMS24 config,8,100932,c-BMS24 Wire harness kit cell voltage monitoring wire 32w,1.0,1,optional,Optional - can be sourced externally
c-BMS24 config,9,100684,Compact shunt (500A/50mV),1.0,1,optional,Optional - can be sourced externally
c-BMS24 config,10,200300,c-BMS24X Unified Creator License FULL,1.0,1,,1 user
c-BMS24 config,11,300300,c-BMS24X Unified SERVICE Tool,,x,optional,Optional. Needed mostly for service after series production
c-BMS24 config,12,100545,Peak CAN adapter for n- and c-BMS,1.0,1,,Necessary for software setup but can be sourced externally
c-BMS24X config,5,100925,c-BMS24X,1.0,1,main,Main product
c-BMS24X config,6,100930,c-BMS24 Wire harness kit I/O 16w,1.0,1,optional,Optional - can be sourced externally
c-BMS24X config,7,100931,c-BMS24 Wire harness kit bat temperature and shunt 20w,1.0,1,optional,Optional - can be sourced externally
c-BMS24X config,8,100932,c-BMS24 Wire harness kit cell voltage monitoring wire 32w,1.0,1,optional,Optional - can be sourced externally
c-BMS24X config,9,100684,Compact shunt (500A/50mV),1.0,1,optional,Optional - can be sourced externally
c-BMS24X config,10,200300,c-BMS24X Unified Creator License FULL,1.0,1,,1 user
c-BMS24X config,11,300300,c-BMS24X Unified SERVICE Tool,,x,optional,Optional. Needed mostly for service after series production
c-BMS24X config,12,100545,Peak CAN adapter for n- and c-BMS,1.0,1,,Necessary for software setup but can be sourced externally
n-BMS w 100809,5,100807,n-BMS Master Control Unit (MCU-PCBA) w/o CAN Term. Resist>500V,1.0,1,,Without CAN termination for partial parallel pack support. Alternative with 100800 that is with CAN termination
n-BMS w 100809,6,100809,n-BMS CMU12/2 top mount isoSPI - 200mA balancing current,,1 - 30,,Number of CMUs depend on battery voltage (e.g.: 8 in a 96 channel system with 12 cells / module)
n-BMS w 100809,7,100802,LiBAL n-BMS Wire harness kit for MCU,1.0,1,optional,Optional. Same amount as MCUs.
n-BMS w 100809,8,100985.1,LiBAL n-BMS CMU12/2 100809 wireharness kit (1700mm) shielded com cable,,1 - 30,optional,Optional. Same amount as number of CMUs.
n-BMS w 100809,9,100986,LiBAL n-BMS MCU isoSPI wire for CMU 100809,1.0,1,optional,Optional for 100800. Same amount as 100800 MCU. Included in 100985.1 for 100807
